invoice_no,customer_id,gender,age,category,price,payment_method,invoice_date,shopping_mall,Clothing,Shoes,Books,Cosmetics,Food & Beverage,Toys,Souvenir,Technology
I159844,C190269,Female,60,Toys,25,Credit Card,7/12/2021,Istinye Park,0,0,0,0,0,1,0,0
I532304,C324512,Male,48,Technology,50,Credit Card,30/08/2022,Mall of Istanbul,0,0,0,0,0,0,0,1
I250922,C206743,Female,23,Technology,50,Debit Card,18/06/2022,Kanyon,0,0,0,0,0,0,0,1
I247538,C224073,Female,54,Souvenir,27,Cash,14/10/2021,Kanyon,0,0,0,0,0,0,1,0
I338605,C113943,Male,31,Toys,25,Cash,25/01/2021,Emaar Square Mall,0,0,0,0,0,1,0,0
I229333,C201015,Female,57,Clothing,30,Cash,8/2/2021,Istinye Park,1,0,0,0,0,0,0,0
I103881,C163190,Male,40,Souvenir,27,Cash,31/08/2022,Kanyon,0,0,0,0,0,0,1,0
I517431,C191174,Male,49,Clothing,30,Cash,15/07/2021,Kanyon,1,0,0,0,0,0,0,0
I468954,C945285,Female,57,Clothing,30,Debit Card,5/3/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I480105,C221193,Female,31,Clothing,30,Debit Card,1/3/2022,Istinye Park,1,0,0,0,0,0,0,0
I203426,C278450,Male,47,Clothing,30,Credit Card,20/09/2021,Zorlu Center,1,0,0,0,1,0,0,0
I232549,C291989,Female,50,Food & Beverage,20,Cash,5/10/2021,Metrocity,0,0,0,0,0,0,0,0
I893324,C277406,Female,30,Cosmetics,35,Credit Card,29/03/2021,Metrocity,0,0,0,1,0,0,0,0
I172235,C223291,Female,36,Clothing,30,Credit Card,7/11/2021,Metropol AVM,1,0,0,0,0,0,0,0
I737951,C143091,Male,29,Books,15,Cash,23/02/2023,Viaport Outlet,0,0,0,0,0,0,0,0
I320668,C737656,Male,31,Clothing,30,Cash,30/12/2021,Metropol AVM,1,0,0,0,0,0,0,0
I328185,C157787,Female,56,Cosmetics,35,Credit Card,11/8/2021,Istinye Park,0,0,0,1,0,0,0,0
I213763,C262982,Female,37,Clothing,30,Cash,26/02/2023,Istinye Park,1,0,0,0,0,0,0,0
I606143,C210635,Male,46,Clothing,30,Credit Card,8/6/2022,Metrocity,1,0,0,0,0,0,0,0
I117413,C310595,Male,56,Clothing,30,Cash,16/12/2021,Mall of Istanbul,1,0,1,0,0,0,0,0
I112416,C311790,Female,49,Technology,50,Credit Card,16/11/2022,Metrocity,0,0,0,0,0,0,0,1
I182988,C665061,Female,25,Clothing,30,Cash,27/04/2021,Kanyon,1,0,0,0,0,0,0,0
I192573,C882059,Female,29,Cosmetics,35,Debit Card,28/12/2021,Metrocity,0,0,0,1,0,0,0,0
I233105,C246654,Male,47,Souvenir,27,Cash,5/10/2021,Metrocity,0,0,0,0,0,0,1,0
I282122,C135091,Female,65,Clothing,30,Cash,8/9/2022,Metrocity,1,0,0,0,0,0,0,0
I236201,C306078,Male,59,Clothing,30,Credit Card,5/8/2022,Kanyon,1,0,0,0,0,0,0,0
I192798,C144529,Male,23,Clothing,30,Cash,14/03/2022,Cevahir AVM,1,0,0,0,0,0,0,0
I130056,C746891,Female,60,Shoes,60,Credit Card,15/12/2022,Metropol AVM,0,1,0,0,1,0,0,0
I895460,C230696,Male,58,Food & Beverage,20,Credit Card,9/2/2022,Istinye Park,0,0,0,0,1,0,0,0
I614132,C327146,Female,68,Food & Beverage,20,Credit Card,19/12/2021,Kanyon,0,0,0,0,0,0,0,0
I118954,C987573,Female,41,Clothing,30,Cash,20/09/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I282396,C119088,Female,63,Cosmetics,35,Credit Card,10/11/2022,Istinye Park,0,0,0,1,0,0,0,0
I184280,C215627,Male,22,Shoes,60,Cash,23/08/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I218805,C567274,Male,62,Clothing,30,Debit Card,21/02/2021,Kanyon,1,0,0,0,0,0,0,0
I726460,C964548,Female,49,Clothing,30,Cash,4/2/2021,Metropol AVM,1,0,0,0,0,0,0,0
I134524,C251801,Male,38,Souvenir,27,Cash,13/09/2022,Metropol AVM,0,0,0,0,0,0,1,0
I237267,C310712,Male,49,Cosmetics,35,Debit Card,21/08/2021,Metrocity,0,0,0,1,0,0,0,0
I123592,C709983,Male,60,Clothing,30,Cash,26/06/2021,Metropol AVM,1,0,0,0,0,0,0,0
I311897,C146616,Female,19,Shoes,60,Credit Card,24/04/2022,Metrocity,0,1,0,0,0,0,0,0
I131266,C751460,Male,28,Toys,25,Cash,20/11/2022,Istinye Park,0,0,0,0,0,1,0,0
I325655,C163532,Male,46,Clothing,30,Cash,4/6/2021,Metropol AVM,1,0,0,0,0,0,0,0
I268043,C986474,Male,59,Technology,50,Credit Card,6/10/2021,Metropol AVM,0,0,0,0,0,0,0,1
I256045,C164068,Male,49,Clothing,30,Cash,13/12/2021,Metrocity,1,0,0,0,1,0,0,0
I272016,C251866,Male,69,Food & Beverage,20,Cash,22/06/2021,Metrocity,0,0,0,0,0,0,0,0
I212437,C241260,Female,49,Toys,25,Debit Card,6/3/2023,Metropol AVM,0,0,0,0,0,1,0,0
I148903,C132867,Female,19,Toys,25,Debit Card,6/7/2021,Metrocity,0,0,0,0,0,1,0,0
I128697,C856138,Female,47,Books,15,Debit Card,23/01/2021,Forum Istanbul,0,0,0,0,0,0,0,0
I769237,C254306,Male,43,Shoes,60,Cash,21/07/2022,Metrocity,0,1,0,0,0,0,0,0
I412880,C210554,Male,38,Shoes,60,Cash,16/03/2021,Metrocity,0,1,0,0,1,0,0,0
I205330,C197519,Female,41,Food & Beverage,20,Cash,23/01/2022,Metrocity,0,0,0,0,0,0,0,0
I229246,C324614,Female,40,Souvenir,27,Credit Card,7/8/2021,Forum Istanbul,0,0,0,0,0,0,1,0
I179204,C822041,Female,59,Clothing,30,Credit Card,4/7/2022,Metrocity,1,0,1,0,0,0,0,0
I836482,C126925,Male,59,Cosmetics,35,Cash,22/12/2021,Kanyon,0,0,0,1,0,0,0,0
I188307,C336653,Male,36,Cosmetics,35,Debit Card,31/03/2021,Kanyon,0,0,0,1,0,0,0,0
I212793,C277603,Male,36,Toys,25,Debit Card,22/11/2022,Mall of Istanbul,0,0,0,0,0,1,0,0
I273623,C768043,Female,48,Cosmetics,35,Credit Card,14/09/2021,Kanyon,0,0,0,1,1,0,0,0
I168974,C129337,Female,26,Food & Beverage,20,Debit Card,6/9/2021,Istinye Park,0,0,0,0,0,0,0,0
I116237,C261066,Female,66,Souvenir,27,Credit Card,24/12/2021,Kanyon,0,0,0,0,0,0,1,0
I257596,C150500,Female,39,Clothing,30,Cash,31/05/2021,Kanyon,1,0,0,0,0,0,0,0
I338518,C253740,Male,29,Clothing,30,Credit Card,21/03/2022,Kanyon,1,0,0,0,0,0,0,0
I116542,C123966,Male,59,Toys,25,Cash,7/3/2022,Metrocity,0,0,0,0,1,1,0,0
I147428,C192403,Female,29,Food & Beverage,20,Credit Card,7/2/2023,Forum Istanbul,0,0,0,0,0,0,0,0
I308961,C187068,Female,43,Clothing,30,Debit Card,26/12/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I315393,C309080,Female,41,Clothing,30,Debit Card,8/10/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I784209,C312061,Female,33,Cosmetics,35,Credit Card,17/11/2021,Metrocity,0,0,0,1,0,0,0,0
I324526,C173979,Male,39,Technology,50,Credit Card,7/3/2023,Istinye Park,0,0,0,0,0,0,0,1
I465045,C249219,Female,49,Books,15,Debit Card,26/04/2021,Kanyon,0,0,0,0,0,0,0,0
I498608,C322402,Female,25,Clothing,30,Cash,17/09/2021,Forum Istanbul,1,0,0,0,0,0,0,0
I258245,C663051,Female,59,Cosmetics,35,Credit Card,2/12/2021,Zorlu Center,0,0,0,1,1,0,0,0
I333609,C284405,Male,35,Food & Beverage,20,Credit Card,31/12/2022,Metrocity,0,0,0,0,0,0,0,0
I241328,C727904,Female,32,Clothing,30,Credit Card,12/8/2022,Metropol AVM,1,0,0,0,0,0,0,0
I296235,C273813,Male,57,Clothing,30,Debit Card,4/9/2022,Mall of Istanbul,1,0,1,0,0,0,0,0
I312185,C271739,Female,45,Toys,25,Credit Card,11/10/2021,Mall of Istanbul,0,0,0,0,0,1,0,0
I251780,C278554,Female,19,Technology,50,Credit Card,18/01/2022,Istinye Park,0,0,0,0,0,0,0,1
I182236,C162000,Female,24,Shoes,60,Credit Card,29/12/2021,Metrocity,0,1,0,0,0,0,0,0
I170200,C116013,Female,22,Clothing,30,Cash,8/2/2023,Mall of Istanbul,1,0,0,0,0,0,0,0
I916921,C876606,Female,59,Clothing,30,Cash,2/1/2023,Viaport Outlet,1,0,0,0,1,0,0,0
I282707,C278882,Female,50,Food & Beverage,20,Cash,25/04/2021,Viaport Outlet,0,0,0,0,0,0,0,0
I248285,C294338,Female,54,Toys,25,Cash,9/2/2021,Mall of Istanbul,0,0,0,0,0,1,0,0
I280072,C239373,Female,34,Toys,25,Credit Card,16/02/2021,Mall of Istanbul,0,0,0,0,0,1,0,0
I145366,C278199,Female,43,Shoes,60,Cash,24/09/2022,Kanyon,0,1,0,0,0,0,0,0
I339493,C245592,Male,30,Toys,25,Debit Card,6/4/2022,Metropol AVM,0,0,0,0,0,1,0,0
I107778,C291265,Female,55,Shoes,60,Cash,6/8/2021,Metrocity,0,1,0,0,1,0,0,0
I331753,C126590,Female,39,Food & Beverage,20,Cash,31/05/2021,Viaport Outlet,0,0,0,0,0,0,0,0
I939220,C171854,Female,42,Souvenir,27,Cash,9/6/2021,Metrocity,0,0,0,0,0,0,1,0
I825857,C322586,Female,61,Clothing,30,Cash,23/07/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I207089,C814276,Female,36,Cosmetics,35,Debit Card,12/3/2022,Istinye Park,0,0,0,1,0,0,0,0
I106077,C258524,Female,65,Books,15,Credit Card,13/02/2021,Viaport Outlet,0,0,0,0,0,0,0,0
I767758,C813609,Female,65,Clothing,30,Debit Card,28/06/2022,Kanyon,1,0,0,0,0,0,0,0
I433700,C266026,Male,25,Clothing,30,Debit Card,7/4/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I992148,C698527,Male,50,Toys,25,Credit Card,12/7/2021,Kanyon,0,0,0,0,1,1,0,0
I683509,C280701,Male,26,Food & Beverage,20,Cash,23/04/2021,Metropol AVM,0,0,0,0,0,0,0,0
I125822,C120825,Male,63,Clothing,30,Cash,5/3/2021,Kanyon,1,0,1,0,0,0,0,0
I595458,C177334,Female,64,Cosmetics,35,Credit Card,17/06/2022,Metropol AVM,0,0,0,1,0,0,0,0
I474169,C193737,Male,50,Souvenir,27,Cash,24/11/2021,Metrocity,0,0,0,0,0,0,1,0
I155156,C797110,Female,38,Books,15,Cash,1/5/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I337033,C146322,Female,62,Souvenir,27,Cash,19/07/2022,Kanyon,0,0,0,0,0,0,1,0
I312739,C685521,Male,50,Clothing,30,Cash,14/11/2021,Forum Istanbul,1,0,0,0,0,0,0,0
I168776,C231125,Female,51,Clothing,30,Credit Card,9/2/2023,Istinye Park,1,0,0,0,1,0,0,0
I295198,C231425,Female,46,Food & Beverage,20,Debit Card,11/3/2022,Forum Istanbul,0,0,0,0,1,0,0,0
I172756,C154623,Female,33,Food & Beverage,20,Credit Card,26/05/2022,Metrocity,0,0,1,0,0,0,0,0
I325631,C334663,Female,59,Cosmetics,35,Debit Card,30/06/2022,Metropol AVM,0,0,0,1,0,0,0,0
I322409,C113448,Female,58,Clothing,30,Credit Card,11/10/2022,Kanyon,1,0,0,0,0,0,0,0
I287018,C803795,Female,36,Clothing,30,Credit Card,8/12/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I137526,C106570,Female,64,Cosmetics,35,Debit Card,9/10/2022,Kanyon,0,0,0,1,0,0,0,0
I308925,C296253,Female,54,Clothing,30,Cash,6/2/2022,Cevahir AVM,1,0,0,0,0,0,0,0
I146069,C331897,Male,45,Clothing,30,Credit Card,6/6/2021,Kanyon,1,0,0,0,0,0,0,0
I238630,C272568,Female,41,Cosmetics,35,Cash,5/9/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I694059,C677668,Female,68,Toys,25,Debit Card,26/01/2021,Emaar Square Mall,0,0,0,0,0,1,0,0
I280887,C272989,Female,49,Clothing,30,Debit Card,22/07/2022,Kanyon,1,0,0,0,0,0,0,0
I153137,C121391,Female,68,Clothing,30,Cash,16/01/2021,Kanyon,1,0,0,0,0,0,0,0
I331013,C161698,Male,21,Books,15,Cash,12/4/2022,Metrocity,0,0,0,0,1,0,0,0
I829630,C146584,Male,60,Food & Beverage,20,Credit Card,28/10/2021,Metrocity,0,0,0,0,0,0,0,0
I130454,C155210,Male,18,Technology,50,Cash,9/1/2023,Metropol AVM,0,0,0,0,0,0,0,1
I577375,C333626,Female,60,Clothing,30,Cash,27/08/2022,Metropol AVM,1,0,0,0,0,0,0,0
I556661,C208496,Male,60,Clothing,30,Credit Card,21/01/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I259713,C275098,Female,45,Clothing,30,Cash,8/10/2021,Mall of Istanbul,1,0,1,0,0,0,0,0
I106060,C564791,Male,20,Toys,25,Cash,27/02/2022,Zorlu Center,0,0,0,0,0,1,0,0
I328760,C181980,Female,30,Toys,25,Credit Card,19/11/2022,Cevahir AVM,0,0,0,0,0,1,0,0
I163650,C246605,Male,39,Clothing,30,Debit Card,6/3/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I952267,C179660,Female,18,Cosmetics,35,Cash,6/7/2022,Metrocity,0,0,0,1,0,0,0,0
I241369,C131953,Male,50,Clothing,30,Credit Card,12/11/2022,Emaar Square Mall,1,0,0,0,0,0,0,0
I236941,C631777,Male,55,Toys,25,Debit Card,21/12/2022,Kanyon,0,0,0,0,0,1,0,0
I742558,C140154,Female,37,Souvenir,27,Debit Card,19/01/2021,Istinye Park,0,0,0,0,0,0,1,0
I150030,C303507,Female,26,Cosmetics,35,Cash,9/3/2022,Kanyon,0,0,0,1,0,0,0,0
I678176,C268909,Female,46,Clothing,30,Debit Card,8/11/2021,Metropol AVM,1,0,0,0,0,0,0,0
I202787,C102408,Female,27,Clothing,30,Credit Card,3/12/2022,Forum Istanbul,1,0,0,0,0,0,0,0
I259928,C156014,Male,43,Clothing,30,Cash,11/9/2021,Mall of Istanbul,1,0,0,0,1,0,0,0
I187434,C177914,Female,58,Food & Beverage,20,Cash,21/09/2022,Metrocity,0,0,0,0,0,0,0,0
I178537,C325663,Female,30,Toys,25,Credit Card,17/04/2022,Istinye Park,0,0,0,0,0,1,0,0
I145647,C311296,Female,66,Clothing,30,Cash,2/10/2021,Mall of Istanbul,1,0,0,0,1,0,0,0
I250140,C249901,Female,52,Food & Beverage,20,Cash,23/03/2022,Metrocity,0,0,0,0,0,0,0,0
I274561,C333570,Female,65,Shoes,60,Cash,22/08/2021,Kanyon,0,1,0,0,0,0,0,0
I563988,C139472,Female,54,Toys,25,Credit Card,5/9/2022,Metropol AVM,0,0,0,0,1,1,0,0
I184787,C302491,Male,37,Food & Beverage,20,Cash,22/08/2022,Metrocity,0,0,0,0,0,0,0,0
I142757,C308224,Female,36,Toys,25,Cash,23/02/2023,Metrocity,0,0,0,0,0,1,0,0
I146425,C301224,Female,20,Technology,50,Credit Card,2/10/2021,Mall of Istanbul,0,0,0,0,1,0,0,1
I252950,C279295,Female,59,Food & Beverage,20,Credit Card,8/5/2022,Metrocity,0,0,0,0,0,0,0,0
I222560,C144326,Male,28,Clothing,30,Debit Card,27/09/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I194729,C561708,Male,55,Shoes,60,Debit Card,24/02/2023,Mall of Istanbul,0,1,0,0,1,0,0,0
I363662,C185252,Male,26,Food & Beverage,20,Cash,15/04/2021,Istinye Park,0,0,0,0,0,0,0,0
I830538,C170100,Female,59,Toys,25,Debit Card,8/4/2021,Emaar Square Mall,0,0,0,0,0,1,0,0
I263671,C104436,Male,26,Cosmetics,35,Credit Card,10/1/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I175764,C996668,Female,47,Cosmetics,35,Cash,21/04/2021,Emaar Square Mall,0,0,0,1,0,0,0,0
I316876,C950205,Female,27,Technology,50,Cash,29/01/2022,Mall of Istanbul,0,0,0,0,0,0,0,1
I219281,C729841,Male,49,Shoes,60,Cash,28/09/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I309668,C313082,Male,53,Toys,25,Credit Card,27/08/2021,Metrocity,0,0,0,0,1,1,0,0
I145520,C220356,Female,19,Food & Beverage,20,Credit Card,12/10/2022,Istinye Park,0,0,0,0,0,0,0,0
I195815,C487444,Female,55,Shoes,60,Debit Card,18/09/2021,Forum Istanbul,0,1,0,0,1,0,0,0
I114768,C234102,Female,30,Food & Beverage,20,Credit Card,16/04/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I288819,C203231,Female,40,Souvenir,27,Cash,23/07/2022,Metrocity,0,0,0,0,0,0,1,0
I325594,C231932,Female,53,Souvenir,27,Cash,15/09/2022,Kanyon,0,0,0,0,0,0,1,0
I245614,C142947,Male,34,Books,15,Cash,20/01/2022,Metrocity,0,0,0,0,0,0,0,0
I998114,C619079,Female,64,Technology,50,Debit Card,28/10/2022,Kanyon,0,0,0,0,0,0,0,1
I189159,C263130,Female,57,Clothing,30,Credit Card,20/04/2022,Metrocity,1,0,0,0,0,0,0,0
I136074,C173996,Female,59,Cosmetics,35,Cash,13/01/2023,Mall of Istanbul,0,0,0,1,0,0,0,0
I120756,C286816,Female,49,Toys,25,Credit Card,19/08/2022,Forum Istanbul,0,0,0,0,0,1,0,0
I256494,C210378,Female,43,Cosmetics,35,Credit Card,18/07/2021,Viaport Outlet,0,0,1,1,0,0,0,0
I177680,C163670,Female,67,Shoes,60,Cash,26/03/2022,Emaar Square Mall,0,1,0,0,0,0,0,0
I426443,C109632,Female,29,Clothing,30,Credit Card,6/6/2021,Metrocity,1,0,0,0,1,0,0,0
I320282,C192327,Male,52,Food & Beverage,20,Cash,5/9/2021,Metropol AVM,0,0,0,0,0,0,0,0
I253195,C446782,Female,22,Shoes,60,Cash,6/10/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I140977,C256034,Female,32,Clothing,30,Cash,10/11/2022,Metropol AVM,1,0,0,0,0,0,0,0
I883324,C716806,Female,42,Clothing,30,Cash,10/11/2022,Metropol AVM,1,0,0,0,0,0,0,0
I250095,C140031,Male,32,Clothing,30,Cash,4/2/2023,Metrocity,1,0,0,0,0,0,0,0
I179339,C328338,Female,43,Toys,25,Cash,10/2/2021,Kanyon,0,0,0,0,0,1,0,0
I617812,C590389,Female,48,Cosmetics,35,Credit Card,21/10/2022,Zorlu Center,0,0,0,1,0,0,0,0
I171490,C306369,Male,18,Souvenir,27,Debit Card,4/6/2022,Metropol AVM,0,0,0,0,0,0,1,0
I114664,C260565,Male,39,Cosmetics,35,Debit Card,26/01/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I309566,C198366,Male,24,Shoes,60,Credit Card,19/07/2021,Forum Istanbul,0,1,0,0,0,0,0,0
I159122,C298404,Female,33,Cosmetics,35,Cash,15/06/2022,Metrocity,0,0,0,1,0,0,0,0
I288985,C318570,Male,59,Books,15,Cash,22/12/2022,Metrocity,0,0,0,0,0,0,0,0
I228933,C316695,Male,30,Souvenir,27,Credit Card,1/12/2022,Kanyon,0,0,0,0,0,0,1,0
I253992,C835319,Male,33,Shoes,60,Credit Card,5/10/2021,Viaport Outlet,0,1,0,0,0,0,0,0
I144724,C138545,Female,38,Clothing,30,Cash,1/10/2021,Kanyon,1,0,0,0,0,0,0,0
I156932,C262657,Female,69,Clothing,30,Credit Card,16/02/2023,Kanyon,1,0,0,0,0,0,0,0
I247265,C566500,Male,31,Clothing,30,Credit Card,14/02/2021,Kanyon,1,0,1,0,0,0,0,0
I112607,C106150,Male,40,Cosmetics,35,Credit Card,10/5/2021,Kanyon,0,0,0,1,0,0,0,0
I698178,C256567,Female,38,Clothing,30,Debit Card,4/2/2021,Mall of Istanbul,1,0,0,0,1,0,0,0
I320224,C206318,Female,44,Food & Beverage,20,Debit Card,26/09/2021,Kanyon,0,0,0,0,1,0,0,0
I836701,C233700,Female,37,Food & Beverage,20,Cash,20/10/2021,Kanyon,0,0,0,0,0,0,0,0
I338817,C270949,Male,67,Shoes,60,Cash,27/09/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I324135,C295545,Female,64,Clothing,30,Credit Card,3/1/2023,Mall of Istanbul,1,0,0,0,0,0,0,0
I287372,C143725,Male,19,Toys,25,Cash,25/11/2021,Kanyon,0,0,0,0,0,1,0,0
I102314,C244044,Female,21,Clothing,30,Credit Card,3/8/2021,Kanyon,1,0,0,0,0,0,0,0
I274215,C266796,Female,43,Technology,50,Debit Card,14/02/2021,Cevahir AVM,0,0,0,0,0,0,0,1
I102024,C132062,Female,19,Souvenir,27,Credit Card,10/11/2022,Kanyon,0,0,0,0,1,0,1,0
I201864,C202448,Female,62,Food & Beverage,20,Credit Card,16/05/2022,Kanyon,0,0,0,0,0,0,0,0
I264140,C312018,Male,32,Toys,25,Debit Card,18/02/2021,Metropol AVM,0,0,0,0,0,1,0,0
I109014,C149501,Female,36,Souvenir,27,Credit Card,14/01/2022,Istinye Park,0,0,0,0,0,0,1,0
I532109,C200095,Male,48,Clothing,30,Cash,25/09/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I323323,C223540,Female,63,Clothing,30,Credit Card,15/06/2022,Zorlu Center,1,0,0,0,0,0,0,0
I109293,C237582,Female,53,Books,15,Cash,4/1/2022,Viaport Outlet,0,0,0,0,0,0,0,0
I328692,C257256,Female,50,Shoes,60,Cash,8/5/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I238432,C537349,Female,68,Clothing,30,Credit Card,16/02/2021,Forum Istanbul,1,0,0,0,0,0,0,0
I228011,C248081,Female,23,Shoes,60,Credit Card,13/02/2023,Mall of Istanbul,0,1,0,0,0,0,0,0
I139556,C216057,Female,41,Souvenir,27,Credit Card,7/9/2022,Metropol AVM,0,0,0,0,1,0,1,0
I490823,C106393,Male,50,Food & Beverage,20,Cash,31/08/2021,Emaar Square Mall,0,0,1,0,0,0,0,0
I136919,C172552,Female,41,Technology,50,Credit Card,4/12/2021,Metrocity,0,0,0,0,0,0,0,1
I317456,C501134,Male,54,Technology,50,Debit Card,29/06/2022,Mall of Istanbul,0,0,0,0,0,0,0,1
I290100,C270376,Male,51,Cosmetics,35,Debit Card,13/10/2021,Metrocity,0,0,0,1,0,0,0,0
I190396,C119113,Female,52,Technology,50,Credit Card,8/8/2021,Mall of Istanbul,0,0,0,0,0,0,0,1
I429412,C184011,Male,26,Toys,25,Credit Card,3/2/2023,Viaport Outlet,0,0,0,0,0,1,0,0
I127143,C292377,Female,33,Clothing,30,Cash,5/6/2021,Metrocity,1,0,0,0,0,0,0,0
I232019,C224939,Female,52,Cosmetics,35,Cash,24/10/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I359051,C164167,Female,23,Clothing,30,Cash,12/6/2021,Kanyon,1,0,0,0,0,0,0,0
I179596,C805279,Male,68,Shoes,60,Cash,21/10/2021,Mall of Istanbul,0,1,0,0,1,0,0,0
I115585,C159062,Female,34,Food & Beverage,20,Cash,11/9/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I151272,C216412,Male,66,Clothing,30,Credit Card,3/5/2021,Kanyon,1,0,0,0,0,0,0,0
I565921,C236234,Male,46,Clothing,30,Cash,16/08/2021,Istinye Park,1,0,0,0,0,0,0,0
I619128,C288831,Female,39,Books,15,Credit Card,30/06/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I216527,C292308,Male,24,Clothing,30,Credit Card,17/02/2021,Metrocity,1,0,0,0,0,0,0,0
I226728,C230231,Female,60,Shoes,60,Credit Card,2/10/2022,Istinye Park,0,1,0,0,0,0,0,0
I128088,C207397,Male,29,Shoes,60,Cash,17/03/2021,Istinye Park,0,1,0,0,0,0,0,0
I211985,C151392,Female,24,Shoes,60,Credit Card,31/03/2022,Metropol AVM,0,1,0,0,0,0,0,0
I118405,C124369,Male,27,Shoes,60,Cash,14/02/2022,Mall of Istanbul,0,1,1,0,0,0,0,0
I165270,C140342,Female,68,Clothing,30,Credit Card,27/02/2023,Mall of Istanbul,1,0,0,0,0,0,0,0
I229252,C101014,Male,49,Clothing,30,Credit Card,4/7/2021,Emaar Square Mall,1,0,0,0,0,0,0,0
I109453,C226687,Female,47,Toys,25,Cash,7/2/2022,Metropol AVM,0,0,0,0,0,1,0,0
I302199,C188597,Female,40,Clothing,30,Credit Card,26/06/2021,Metropol AVM,1,0,0,0,0,0,0,0
I202056,C958378,Female,55,Books,15,Debit Card,7/2/2023,Metrocity,0,0,0,0,0,0,0,0
I284964,C182213,Male,46,Cosmetics,35,Cash,24/12/2021,Kanyon,0,0,0,1,0,0,0,0
I610353,C246507,Male,25,Cosmetics,35,Cash,21/08/2021,Kanyon,0,0,0,1,1,0,0,0
I133261,C215081,Female,27,Food & Beverage,20,Cash,7/5/2021,Kanyon,0,0,0,0,0,0,0,0
I195162,C799624,Female,21,Clothing,30,Cash,3/3/2021,Kanyon,1,0,0,0,1,0,0,0
I236411,C836593,Male,51,Food & Beverage,20,Credit Card,31/12/2022,Kanyon,0,0,1,0,1,0,0,0
I250040,C222289,Female,26,Food & Beverage,20,Debit Card,29/01/2022,Cevahir AVM,0,0,0,0,0,0,0,0
I352528,C272287,Male,38,Shoes,60,Credit Card,11/7/2021,Kanyon,0,1,0,0,0,0,0,0
I135368,C185251,Female,22,Toys,25,Debit Card,23/08/2022,Zorlu Center,0,0,0,0,0,1,0,0
I955408,C274639,Female,69,Clothing,30,Cash,27/02/2023,Kanyon,1,0,0,0,1,0,0,0
I846963,C484371,Female,29,Food & Beverage,20,Cash,4/3/2022,Istinye Park,0,0,0,0,0,0,0,0
I260572,C483736,Female,34,Cosmetics,35,Cash,3/2/2022,Zorlu Center,0,0,0,1,1,0,0,0
I266552,C162854,Female,32,Food & Beverage,20,Cash,2/4/2022,Istinye Park,0,0,0,0,0,0,0,0
I166823,C301753,Female,43,Clothing,30,Cash,25/03/2022,Istinye Park,1,0,0,0,0,0,0,0
I441644,C262170,Female,26,Clothing,30,Credit Card,8/10/2022,Metropol AVM,1,0,0,0,0,0,0,0
I477622,C147794,Female,39,Toys,25,Cash,5/5/2021,Viaport Outlet,0,0,0,0,0,1,0,0
I177479,C770537,Female,59,Cosmetics,35,Cash,22/03/2021,Istinye Park,0,0,0,1,0,0,0,0
I312040,C296423,Female,22,Souvenir,27,Cash,24/03/2021,Metropol AVM,0,0,0,0,0,0,1,0
I138016,C128872,Male,24,Clothing,30,Cash,23/12/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I324094,C778404,Female,50,Technology,50,Credit Card,16/05/2022,Forum Istanbul,0,0,0,0,0,0,0,1
I160204,C168417,Female,54,Books,15,Credit Card,14/10/2022,Forum Istanbul,0,0,0,0,0,0,0,0
I699353,C108003,Male,45,Toys,25,Cash,31/12/2022,Metropol AVM,0,0,0,0,0,1,0,0
I760747,C370083,Male,68,Clothing,30,Credit Card,27/02/2023,Kanyon,1,0,0,0,0,0,0,0
I809166,C193054,Male,44,Shoes,60,Cash,6/10/2021,Forum Istanbul,0,1,0,0,0,0,0,0
I213132,C214510,Male,46,Clothing,30,Cash,14/10/2022,Forum Istanbul,1,0,0,0,0,0,0,0
I557804,C208335,Male,22,Cosmetics,35,Credit Card,23/01/2023,Mall of Istanbul,0,0,1,1,0,0,0,0
I251885,C609182,Male,51,Cosmetics,35,Debit Card,1/3/2022,Istinye Park,0,0,0,1,0,0,0,0
